uas_flight,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
SewPen_SOLO_20220711_Teller_MM27_Flight7_MBS.tif,1434.683,1189.641,6062.809,9069.525,187.5826667,204.0829727,1100.348337,2102.641901,30.13179498,19.32512439
SewPen_SOLO_20220711_Teller_MM27_Flight8_MBS.tif,1059.352,895.898,6298.763,8710.318,160.7035883,167.6242976,1714.772859,2735.655325,30.13179498,19.32512439
SewPen_SOLO_20220713_Teller_MM27_Flight10_MBS.tif,1864.689,1401.790,7273.911,8729.817,239.4062904,241.0624984,1258.920124,1564.580351,30.13179498,19.32512439
SewPen_SOLO_20220713_Teller_MM27_Flight11_MBS.tif,2148.295,1269.727,7071.491,9239.151,438.6761084,392.0659193,1756.286775,2497.943808,30.13179498,19.32512439
