uas_flight,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
SewPen_SOLO_20220711_Teller_MM27_Flight8_MBS.tif,1410.566,1066.324,7373.900,12291.190,162.7328206,235.2969271,676.1981712,1187.979936,3.703042328,1.980249593
SewPen_SOLO_20220713_Teller_MM27_Flight10_MBS.tif,1455.819,735.581,7501.454,10087.998,113.1304379,107.4702989,606.8658778,755.8060313,3.703042328,1.980249593
SewPen_SOLO_20220713_Teller_MM27_Flight11_MBS.tif,1355.973,730.058,7918.800,10490.671,150.0131492,124.3184627,886.3138855,1180.117733,3.703042328,1.980249593
SewPen_SOLO_20220713_Teller_MM27_Flight12_MBS.tif,3161.211,1135.891,9787.654,16128.243,206.7393222,164.7084397,704.2283149,1301.072074,3.703042328,1.980249593
