uas_flight,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
SewPen_SOLO_20220711_Teller_MM27_Flight8_MBS.tif,1412.533,1634.744,7165.384,10345.633,206.9742254,561.0298337,478.656141,813.8662036,5.366796875,3.645524065
SewPen_SOLO_20220713_Teller_MM27_Flight10_MBS.tif,1595.446,1003.921,8064.614,10561.845,178.0862161,236.4116714,958.8488136,1263.954513,5.366796875,3.645524065
SewPen_SOLO_20220713_Teller_MM27_Flight11_MBS.tif,1875.652,1469.257,8192.446,10050.219,326.1161081,537.0982592,948.3947125,1201.453999,5.366796875,3.645524065
SewPen_SOLO_20220713_Teller_MM27_Flight12_MBS.tif,4087.167,2081.257,8800.829,15839.965,4383.235617,4526.67525,4077.3067,3711.912772,5.366796875,3.645524065
