"uas_flight","green_ave","red_ave","rededge_ave","nir_ave","green_sd","red_sd","rededge_sd","nir_sd","chm_ave","chm_sd"
"SewPen_SOLO_20220713_Teller_MM27_Flight10_MBS.tif",65535,65535,65535,65535,0,0,0,0,9.02216312056738,6.48343931078725
"SewPen_SOLO_20220713_Teller_MM27_Flight11_MBS.tif",65535,65535,65535,65535,0,0,0,0,9.02216312056738,6.48343931078725
"SewPen_SOLO_20220713_Teller_MM27_Flight12_MBS.tif",1426.77935606061,604.464962121212,7678.17140151515,11042.9090909091,577.318721134588,248.951600205978,2430.18984922888,3233.69709902158,9.02216312056738,6.48343931078725
