"uas_flight","green_ave","red_ave","rededge_ave","nir_ave","green_sd","red_sd","rededge_sd","nir_sd","chm_ave","chm_sd"
"SewPen_SOLO_20220711_Teller_MM27_Flight4_MBS.tif",65535,65535,65535,65535,0,0,0,0,10.01484375,10.7466061458621
"SewPen_SOLO_20220711_Teller_MM27_Flight5_MBS.tif",1199.85355191257,1310.66857923497,8339.87049180328,10441.7680327869,141.170290682055,301.365793712119,851.343805787455,1329.36524748014,10.01484375,10.7466061458621
"SewPen_SOLO_20220711_Teller_MM27_Flight6_MBS.tif",1587.93786356425,1563.27366472766,7194.70650449498,10104.2868852459,215.573045023706,411.335754364447,662.941772528743,1095.13654866869,10.01484375,10.7466061458621
"SewPen_SOLO_20220711_Teller_MM27_Flight7_MBS.tif",65535,65535,65535,65535,0,0,0,0,10.01484375,10.7466061458621
