"uas_flight","green_ave","red_ave","rededge_ave","nir_ave","green_sd","red_sd","rededge_sd","nir_sd","chm_ave","chm_sd"
"SewPen_SOLO_20220711_Teller_MM27_Flight4_MBS.tif",65535,65535,65535,65535,0,0,0,0,19.4032258064516,8.8530060207319
"SewPen_SOLO_20220711_Teller_MM27_Flight5_MBS.tif",979.249516441006,835.290135396518,7611.38878143133,10399.5270793037,106.923330347389,147.126059444164,1368.41471733397,2162.38624836618,19.4032258064516,8.8530060207319
"SewPen_SOLO_20220711_Teller_MM27_Flight6_MBS.tif",1238.95359848485,938.792140151515,7589.69933712121,11232.9076704545,140.633383927396,328.09104621161,1462.4141287214,2654.43825820106,19.4032258064516,8.8530060207319
"SewPen_SOLO_20220711_Teller_MM27_Flight7_MBS.tif",65535,65535,65535,65535,0,0,0,0,19.4032258064516,8.8530060207319
