uas_flight,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
SewPen_SOLO_20220713_Teller_MM27_Flight10_MBS.tif,1352,858,6813,8959,181.5907022,203.3754712,879.3011057,1120.223292,11.04117188,5.523817942
SewPen_SOLO_20220713_Teller_MM27_Flight11_MBS.tif,1392,1019,8170,10475,244.4561405,360.4797749,980.7645936,1246.048176,11.04117188,5.523817942
SewPen_SOLO_20220713_Teller_MM27_Flight12_MBS.tif,2225,1264,8603,11520,274.608336,319.0580833,1109.5139,1423.004203,11.04117188,5.523817942
