uas_flight,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
SewPen_SOLO_20220711_Teller_MM27_Flight7_MBS.tif,1654.278,1679.250,7439.020,11567.281,125.9767259,333.4487387,512.7442661,1114.277219,6.352691937,6.357836264
SewPen_SOLO_20220711_Teller_MM27_Flight8_MBS.tif,1180.389,1051.990,6844.857,9899.349,81.58302033,213.4771294,685.7144166,1179.775148,6.352691937,6.357836264
SewPen_SOLO_20220713_Teller_MM27_Flight10_MBS.tif,1936.418,1301.544,8067.305,10943.044,189.9160385,254.2589577,831.9136788,970.1462324,6.352691937,6.357836264
SewPen_SOLO_20220713_Teller_MM27_Flight11_MBS.tif,2969.371,1955.083,8546.247,11867.672,337.5738416,397.8451375,879.4139674,1287.089134,6.352691937,6.357836264
