uas_flight,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
SewPen_SOLO_20220713_Teller_MM27_Flight10_MBS.tif,1622.073,848.231,6094.826,10659.953,233.0322346,191.5145079,788.8182435,1305.098153,12.6034375,8.483195604
SewPen_SOLO_20220713_Teller_MM27_Flight11_MBS.tif,1118.051,796.868,6672.601,11421.097,118.6029728,163.4721273,781.9718404,1388.338275,12.6034375,8.483195604
SewPen_SOLO_20220713_Teller_MM27_Flight12_MBS.tif,1764.573,1069.111,7238.018,9389.328,234.8613617,254.4989822,962.2214831,1220.73796,12.6034375,8.483195604
