uas_flight,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
SewPen_SOLO_20220713_Teller_MM27_Flight10_MBS.tif,1301.14,631.65,7341.75,10105.25,297.9330137,191.3726735,1544.967611,2136.033478,27.73776966,18.28902685
SewPen_SOLO_20220713_Teller_MM27_Flight11_MBS.tif,1481.00,1050.08,7742.64,10162.64,553.9494632,699.4142096,1604.087676,2367.823012,27.73776966,18.28902685
SewPen_SOLO_20220713_Teller_MM27_Flight12_MBS.tif,2377.83,1061.84,9209.32,13153.26,452.0302393,413.5731979,1752.904448,2796.513256,27.73776966,18.28902685
