uas_flight,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
SewPen_SOLO_20220713_Teller_MM27_Flight10_MBS.tif,1040.638,713.545,6607.979,13271.815,96.55657342,124.0092227,683.081846,1434.858132,12.1567299,4.566987796
SewPen_SOLO_20220713_Teller_MM27_Flight11_MBS.tif,1140.831,743.968,6497.905,12249.580,159.0461639,173.1579695,1041.635962,2081.751607,12.1567299,4.566987796
SewPen_SOLO_20220713_Teller_MM27_Flight12_MBS.tif,1511.324,706.738,8090.898,11452.553,149.6253038,139.5224726,878.9029307,1280.061619,12.1567299,4.566987796
