uas_flight,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
SewPen_SOLO_20220711_Teller_MM27_Flight7_MBS.tif,1466.008,1502.412,7653.719,11893.169,194.386375,439.4893106,437.6728425,955.6211076,4.318774113,4.31723741
SewPen_SOLO_20220711_Teller_MM27_Flight8_MBS.tif,1180.753,1256.038,7542.660,10388.778,123.1052651,330.747315,438.3450389,722.9762547,4.318774113,4.31723741
SewPen_SOLO_20220713_Teller_MM27_Flight10_MBS.tif,2057.012,1137.122,9432.575,13182.476,218.5811456,277.0222661,915.3229083,1417.173743,4.318774113,4.31723741
SewPen_SOLO_20220713_Teller_MM27_Flight11_MBS.tif,2489.543,1278.674,8729.787,12740.796,239.7242461,299.5643824,700.2433798,1050.978121,4.318774113,4.31723741
