uas_flight,green_ave,red_ave,rededge_ave,nir_ave,green_sd,red_sd,rededge_sd,nir_sd,chm_ave,chm_sd
SewPen_SOLO_20220711_Teller_MM27_Flight4_MBS.tif,1829.743,1868.622,7710.389,12421.497,151.6019101,290.2060702,618.467288,1155.320556,0.374228395,1.530444057
SewPen_SOLO_20220711_Teller_MM27_Flight5_MBS.tif,1281.269,1663.825,7410.292,9333.435,125.05835,290.8491445,846.0762776,1160.842692,0.374228395,1.530444057
SewPen_SOLO_20220711_Teller_MM27_Flight6_MBS.tif,1532.009,1426.111,6252.885,9761.057,257.4634265,407.0197078,678.8502694,1307.442589,0.374228395,1.530444057
