"uas_flight","green_ave","red_ave","rededge_ave","nir_ave","green_sd","red_sd","rededge_sd","nir_sd","chm_ave","chm_sd"
"SewPen_SOLO_20220708_Teller_MM27_Flight1_MBS.tif",65535,65535,65535,65535,0,0,0,0,14.422020568663,17.5773012407507
"SewPen_SOLO_20220711_Teller_MM27_Flight4_MBS.tif",1309.89060150376,809.404323308271,9274.19868421053,14778.6338345865,161.429188899588,173.644768428717,1184.01698537499,2071.24903688511,14.422020568663,17.5773012407507
"SewPen_SOLO_20220711_Teller_MM27_Flight5_MBS.tif",1488.99894781145,926.611952861953,9370.96611952862,16109.3196548822,168.870670970249,190.467310440031,943.721864086804,1834.15339361805,14.422020568663,17.5773012407507
