"uas_flight","green_ave","red_ave","rededge_ave","nir_ave","green_sd","red_sd","rededge_sd","nir_sd","chm_ave","chm_sd"
"SewPen_SOLO_20220711_Teller_MM27_Flight5_MBS.tif",65535,65535,65535,65535,0,0,0,0,5.70688175154321,3.69549855491982
"SewPen_SOLO_20220711_Teller_MM27_Flight6_MBS.tif",1149.65036420395,1204.90764828304,4996.35353798127,6523.5254942768,121.481868670548,171.057597291793,1029.61043345993,1537.59175854694,5.70688175154321,3.69549855491982
"SewPen_SOLO_20220711_Teller_MM27_Flight7_MBS.tif",1235.27175324675,1317.15227272727,5470.06720779221,7223.53409090909,127.049268308138,202.289252628908,1165.24832350713,1795.11065215088,5.70688175154321,3.69549855491982
"SewPen_SOLO_20220711_Teller_MM27_Flight8_MBS.tif",65535,65535,65535,65535,0,0,0,0,5.70688175154321,3.69549855491982
