"uas_flight","green_ave","red_ave","rededge_ave","nir_ave","green_sd","red_sd","rededge_sd","nir_sd","chm_ave","chm_sd"
"SewPen_SOLO_20220711_Teller_MM27_Flight4_MBS.tif",65535,65535,65535,65535,0,0,0,0,18.6108024691358,12.1993046936944
"SewPen_SOLO_20220711_Teller_MM27_Flight5_MBS.tif",888.796932839767,862.388154415653,5985.83527234268,7538.80222104707,125.856200236244,116.570581168214,1269.34971037098,1887.60433622635,18.6108024691358,12.1993046936944
"SewPen_SOLO_20220711_Teller_MM27_Flight6_MBS.tif",1109.24037460978,803.803850156087,5952.58766909469,8304.02861602497,131.908104701092,127.691916861651,1184.67292005811,1980.91881832161,18.6108024691358,12.1993046936944
"SewPen_SOLO_20220711_Teller_MM27_Flight7_MBS.tif",65535,65535,65535,65535,0,0,0,0,18.6108024691358,12.1993046936944
