"uas_flight","green_ave","red_ave","rededge_ave","nir_ave","green_sd","red_sd","rededge_sd","nir_sd","chm_ave","chm_sd"
"SewPen_SOLO_20220711_Teller_MM27_Flight7_MBS.tif",65535,65535,65535,65535,0,0,0,0,5.366796875,3.64552406531666
"SewPen_SOLO_20220711_Teller_MM27_Flight8_MBS.tif",1412.53348214286,1634.74426020408,7165.38392857143,10345.6326530612,206.974225397915,561.029833689095,478.656141040373,813.866203616773,5.366796875,3.64552406531666
"SewPen_SOLO_20220713_Teller_MM27_Flight10_MBS.tif",1595.4459833795,1003.92120652508,8064.61403508772,10561.8451831333,178.086216087173,236.411671445359,958.848813637371,1263.95451295329,5.366796875,3.64552406531666
"SewPen_SOLO_20220713_Teller_MM27_Flight11_MBS.tif",1875.65249702735,1469.25683709869,8192.44560047562,10050.2190844233,326.116108094457,537.098259186931,948.39471254823,1201.45399888165,5.366796875,3.64552406531666
"SewPen_SOLO_20220713_Teller_MM27_Flight12_MBS.tif",4087.167003367,2081.25723905724,8800.82895622896,15839.964983165,4383.23561659476,4526.6752503709,4077.30670038069,3711.91277230775,5.366796875,3.64552406531666
